nameEn	urlEn	nameJa	urlJa
What Women Want	https://en.wikipedia.org/wiki/What_Women_Want	ハート・オブ・ウーマン	https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%BC%E3%83%88%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A6%E3%83%BC%E3%83%9E%E3%83%B3
Witchboard	https://en.wikipedia.org/wiki/Witchboard		
The Craft	https://en.wikipedia.org/wiki/The_Craft_(film)	ザ・クラフト	https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88
Liar Liar	https://en.wikipedia.org/wiki/Liar_Liar	ライアー ライアー	https://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC_%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC
The Devil’s Advocate	https://en.wikipedia.org/wiki/The_Devil%27s_Advocate_(1997_film)	ディアボロス/悪魔の扉	https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%82%A2%E3%83%9C%E3%83%AD%E3%82%B9/%E6%82%AA%E9%AD%94%E3%81%AE%E6%89%89
Ella Enchanted	https://en.wikipedia.org/wiki/Ella_Enchanted_(film)	アン・ハサウェイ 魔法の国のプリンセス	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%8F%E3%82%B5%E3%82%A6%E3%82%A7%E3%82%A4_%E9%AD%94%E6%B3%95%E3%81%AE%E5%9B%BD%E3%81%AE%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9
Bedazzled	https://en.wikipedia.org/wiki/Bedazzled_(2000_film)	悪いことしましョ!	https://ja.wikipedia.org/wiki/%E6%82%AA%E3%81%84%E3%81%93%E3%81%A8%E3%81%97%E3%81%BE%E3%81%97%E3%83%A7!_(2000%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB)
Practical Magic	https://en.wikipedia.org/wiki/Practical_Magic	プラクティカル・マジック	https://ja.wikipedia.org/wiki/%E3%83%97%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%82%AB%E3%83%AB%E3%83%BB%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF
The Animal	https://en.wikipedia.org/wiki/The_Animal	アニマルマン	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%8B%E3%83%9E%E3%83%AB%E3%83%9E%E3%83%B3
Shallow Hal	https://en.wikipedia.org/wiki/Shallow_Hal	愛しのローズマリー	https://ja.wikipedia.org/wiki/%E6%84%9B%E3%81%97%E3%81%AE%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%9E%E3%83%AA%E3%83%BC
The Ant Bully	https://en.wikipedia.org/wiki/The_Ant_Bully_(film)	アントブリー	https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%B3%E3%83%88%E3%83%96%E3%83%AA%E3%83%BC
