sid	lid	label	triple	sub	summaryJa
mith	monster-in-the-house	Monster In The House	Monster,House,Sin	pure-monster,domestic-monster,serial-monster,supra-natural-monster,nihilist-monster	誰かが何かの罪を犯して安全地帯に危険を持ち込む
gf	golden-fleece	Golden Fleece	Road,Team,Prize	sports-fleece,buddy-fleece,epic-fleece,caper-fleece,solo-fleece	主人公はチームによって導かれ旅をし新たな技術・経験・態度などを体得して成長し、賞を得る（家に帰る、宝を得る、生存権を得る等）
ootb	out-of-the-bottle	Out of the Bottle	Wish,Spell,Lesson	body-switch-bottle,angel-bottle,thing-bottle,curse-bottle,surreal-bottle	主人公の願いに応じて呪文が発動し守られるべきルールが敷かれ酷い事態になって教訓を学ぶ
dwap	dude-with-a-problem	Dude with a Problem	Innocent Hero,Sudden Event,Life or Death Battle	spy-problem,law-enforcement-problem,domestic-problem,epic-problem,nature-problem	無垢な主人公が突然の出来事により生死を賭けた戦いに巻き込まれる
rop	rites-of-passage	Rites of Passage	Life Problem,Wrong Way,Acceptance	mid-life-passage,separation-passage,death-passage,addiction-passage,adolescent-passage	通過儀礼。人生における不可解な困難に対して間違ったアプローチをするも、真実を受け入れて世界でなく自分を変える。
bl	buddy-love	Buddy Love	Incomplete Hero,Counterpart,Complication	pet-love,professional-love,rom-com-love,epic-love,forbidden-love	相棒愛。何かが欠けている主人公は、それを補う相手と出会い、誤解、倫理・価値観・見解の相違、壮大な歴史的事件、社会的無礼による不承認などの複雑な問題が起きる。
wd	whydunit	WhyDunit	Detective,Secret,Dark Turn	political-whydunit,fantasy-whydunit,cop-whydunit,personal-whydunit,noir-whydunit	探偵が秘密を探るため、あらゆる世俗的な誘惑すらも圧倒して、ついには規則すら破る。
ft	fool-triumphant	Fool Triumphant	Fool,Establishment,Transmutation	political-fool,undercover-fool,society-fool,fool-out-of-water,sex-fool	無邪気で愚かな主人公は彼に合わない場所に送られるも偶然・偽装・誤解などによって生まれ変わる
i	institutionalized	Institutionalized	Group,Choice,Sacrifice	military-institution,family-institution,business-institution,mentor-institution,issue-institution	何らかのグループによって大きな選択を迫られ犠牲を払う（家族や組織などとの間で対立し、最後に主人公は組織に参加するか、自殺するか、組織を燃やすなどの犠牲を払う）
sh	superhero	SuperHero	Special Power,Nemesis,Curse	real-life-superhero,storybook-superhero,fantasy-superhero,peoples-superhero,comic-book-superhero	主人公は異能を持っており宿敵がいて何らかの代償を支払っている（試練や屈服する呪い等）
